,textID,sentiment
0,1ecb27d443,neutral
1,8def14ecb6,neutral
2,d8ab6dfc33,positive
3,a40a9840b0,negative
4,9fd06d16fa,neutral
5,a2e05185c6,neutral
6,4dc7327dd8,negative
7,a8c7169a40,negative
8,f3ac3b70a5,neutral
9,7225190154,neutral
10,90b04358f6,negative
11,4eab89615d,neutral
12,d23b3d8a0f,negative
13,5c618e0858,neutral
14,ebe8f8516d,neutral
15,a0778509a0,neutral
16,3796daa7e7,positive
17,3c7d3bb4f7,positive
18,a540dbe145,negative
19,9c825ecb4b,neutral
20,da416376a5,negative
21,1bc5ee4931,neutral
22,476f9b7220,negative
23,f66476d213,neutral
24,5d76ce377a,neutral
25,f4b9c3b066,neutral
26,0fdd17f7d9,positive
27,8a60acff0f,neutral
28,078af0dd16,positive
29,0236a31bb0,neutral
30,4c29c2a392,positive
31,39f65ac179,neutral
32,261e064dd4,neutral
33,f0484a0f8a,negative
34,7096e797f5,positive
35,88df00353c,positive
36,19be734f43,neutral
37,56a6f83cff,neutral
38,d7a6c26e66,positive
39,e3f761b95c,positive
40,26e4fa628a,positive
41,c8c3ef8aaf,positive
42,9f99fb6260,negative
43,75d3edbeda,negative
44,8afddd5ed6,neutral
45,19c8924b58,negative
46,e182fdf4a2,positive
47,dfa12a52eb,positive
48,dc1a833e52,neutral
49,e039645e4d,positive
50,8b27dab7ed,negative
51,b507cce1a4,neutral
52,23186e73f2,positive
53,7b10fe51a5,negative
54,24899d5bc7,neutral
55,84ecc180c2,negative
56,2a708c3485,positive
57,04b61330dc,negative
58,3dab5c659c,neutral
59,26b7bd0e04,positive
60,6bb61f0267,positive
61,c774e791ab,negative
62,cbf87fcd46,positive
63,6712b0174e,neutral
64,09a7ff07ee,positive
65,80f12a2f56,positive
66,d2edadaabd,positive
67,77c01f0add,positive
68,7972133a6e,neutral
69,3daa9bf925,negative
70,3d465939ee,positive
71,a1898e44e9,negative
72,08975f62a8,negative
73,fee2d997a9,negative
74,393519d754,neutral
75,05dd709038,positive
76,8b89deb1b6,positive
77,c2f663dfcd,positive
78,b988be367b,neutral
79,1613b8b2d7,neutral
80,05ee6aa24e,positive
81,021f8be6b0,neutral
82,41341f5395,neutral
83,f6f31ebdcf,neutral
84,3e3d67efc2,positive
85,b68026044b,neutral
86,44118d01e8,neutral
87,258ed281c7,negative
88,3961e6973d,neutral
89,2c8ee886ae,neutral
90,0043706e88,neutral
91,c6a48bcc9c,neutral
92,bd36808ea3,positive
93,39348df004,neutral
94,1cbfa82e04,positive
95,4b6f08e92c,negative
96,876ac096ec,neutral
97,ef3ebe4b6e,neutral
98,ff41981fe4,positive
99,c0db8835a5,positive
100,5b743fcc17,positive
101,3f4869a702,neutral
102,7280188899,neutral
103,e836da8cd9,positive
